epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1953,1.41358,3.00746,1.39058,0.29371,0.27344,0.31599,0.22852,0.89642,2.6625,1.01399,0.000365704,0.000365704,0.000365704
2,49.0244,1.35408,2.26387,1.33032,0.32329,0.48394,0.34402,0.23741,1.10708,1.70132,1.13679,0.000728751,0.000728751,0.000728751
3,70.4342,1.30044,2.06255,1.31696,0.36755,0.62004,0.46297,0.34809,0.89835,1.48663,1.10183,0.00108446,0.00108446,0.00108446
4,94.63,1.28971,1.87524,1.31148,0.60179,0.51688,0.47177,0.34419,0.99368,1.4549,1.12042,0.001078,0.001078,0.001078
5,117.594,1.3071,1.69856,1.31275,0.44779,0.74234,0.55359,0.42234,0.90788,1.4388,1.08999,0.001067,0.001067,0.001067
6,140.236,1.2763,1.53779,1.29403,0.52175,0.67274,0.5495,0.39358,0.95909,1.1419,1.09202,0.00105601,0.00105601,0.00105601
7,161.655,1.23918,1.48467,1.28141,0.50496,0.75009,0.59798,0.43963,0.91275,1.01486,1.09638,0.00104501,0.00104501,0.00104501
8,184.913,1.25034,1.39148,1.28134,0.34784,0.63764,0.52583,0.39439,0.88223,1.20744,1.0653,0.00103401,0.00103401,0.00103401
9,207.734,1.19784,1.32337,1.2594,0.43209,0.76474,0.60874,0.48638,0.8137,1.03558,1.02531,0.00102301,0.00102301,0.00102301
10,229.407,1.22074,1.32956,1.27959,0.4182,0.73184,0.50193,0.38821,0.797,1.33075,1.03123,0.00101201,0.00101201,0.00101201
11,252.489,1.20031,1.29818,1.27243,0.56891,0.74738,0.66771,0.51973,0.8374,0.92779,1.05427,0.00100101,0.00100101,0.00100101
12,275.614,1.17805,1.22374,1.23964,0.39211,0.71283,0.54785,0.40172,0.91555,1.06765,1.09514,0.000990012,0.000990012,0.000990012
13,298.492,1.14126,1.15506,1.23526,0.46307,0.60823,0.57787,0.45025,0.80332,1.07987,1.03115,0.000979013,0.000979013,0.000979013
14,320.014,1.13974,1.15711,1.23857,0.58979,0.67618,0.63689,0.50931,0.76912,0.8371,1.00434,0.000968014,0.000968014,0.000968014
15,343.059,1.14369,1.13237,1.23185,0.54558,0.6978,0.63163,0.49427,0.8214,0.85771,1.04479,0.000957015,0.000957015,0.000957015
16,365.844,1.11497,1.10007,1.21546,0.46142,0.75465,0.6087,0.48243,0.80924,0.94942,1.032,0.000946016,0.000946016,0.000946016
17,387.251,1.10063,1.07141,1.1981,0.58929,0.80163,0.69364,0.55508,0.81598,0.79147,1.02882,0.000935018,0.000935018,0.000935018
18,409.666,1.12756,1.08846,1.22325,0.52395,0.85957,0.68365,0.55763,0.74483,0.80483,1.01792,0.000924019,0.000924019,0.000924019
19,432.692,1.09733,1.05365,1.21469,0.50639,0.84131,0.64029,0.50589,0.78557,0.88276,1.01975,0.00091302,0.00091302,0.00091302
20,455.043,1.08646,1.04192,1.19261,0.54604,0.84384,0.65008,0.53306,0.73068,0.7683,0.99144,0.000902021,0.000902021,0.000902021
